cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,sshc_cmd_count,sshc_max,sshc_mean,sshc_median,sshc_min,sshc_std,sshc_uniq_cmds
sshclient,250,0,20180409_211936_9d9e,250,vagrant,80,24,4.0434656143,2.1094216506,2.3669101,0.024545908,1.2865351108,1
sshclient,500,0,20180410_005522_55c4,500,vagrant,80,18,1.928994894,0.9976330863,1.2284457684,0.0133481026,0.6989782422,1
sshclient,750,0,20180410_011520_a609,750,vagrant,80,11,1.4519760609,1.0407818231,1.0904898643,0.4551141262,0.2622367268,1
sshclient,1000,0,20180409_190236_920c,1000,vagrant,80,15,0.9111361504,0.5512883186,0.7048454285,0.0133459568,0.3243835534,1
sshclient,1250,0,20180409_192218_144d,1250,vagrant,80,16,0.8900983334,0.6188102961,0.663294673,0.0760018826,0.197084283,1
sshclient,1500,0,20180409_194159_4f61,1500,vagrant,80,11,0.5962071419,0.3569013205,0.3672435284,0.0132694244,0.2080583993,1
sshclient,1750,0,20180409_200137_a2e3,1750,vagrant,80,21,0.5525500774,0.4096678325,0.4108397961,0.1301317215,0.1055222392,1
sshclient,2000,0,20180409_202109_673f,2000,vagrant,80,15,0.4771537781,0.2817482789,0.3277156353,0.0133209229,0.1553090927,1
sshclient,2250,0,20180409_204040_ef89,2250,vagrant,80,18,0.3633849621,0.1888635821,0.2023156881,0.0131483078,0.1249975483,1
sshclient,2500,0,20180409_210008_a4cd,2500,vagrant,80,15,0.6670255661,0.1738241673,0.0794734955,0.0132405758,0.1877179458,1
sshclient,2750,0,20180409_214101_bf3a,2750,vagrant,80,20,0.4364082813,0.1988893747,0.1939899921,0.0135293007,0.1086788367,1
sshclient,3000,0,20180409_220028_3e8e,3000,vagrant,80,17,0.375836134,0.1925748096,0.2234253883,0.0132508278,0.1297571367,1
sshclient,3250,0,20180409_221953_abf0,3250,vagrant,80,16,0.3210954666,0.139069736,0.1507639885,0.0133337975,0.1074554992,1
sshclient,3500,0,20180409_223919_ad2c,3500,vagrant,80,11,0.2752842903,0.1353105848,0.1643877029,0.0133535862,0.1018126948,1
sshclient,3750,0,20180409_225848_c866,3750,vagrant,80,18,0.2686970234,0.0996420251,0.0314145088,0.0132422447,0.0985717355,1
sshclient,4000,0,20180409_231818_3b89,4000,vagrant,80,14,0.3045856953,0.1016753401,0.0891954899,0.013228178,0.0858393616,1
sshclient,4250,0,20180409_233743_7162,4250,vagrant,80,15,0.2255511284,0.1222439766,0.1396081448,0.0132477283,0.078074571,1
sshclient,4500,0,20180409_235707_0eac,4500,vagrant,80,8,0.2068192959,0.1085211635,0.1249841452,0.0132472515,0.0791875758,1
sshclient,4750,0,20180410_001633_2aba,4750,vagrant,80,13,0.2011358738,0.0790971793,0.0340433121,0.0132091045,0.0718009493,1
sshclient,5000,0,20180410_003558_2ae6,5000,vagrant,80,13,0.1881475449,0.0959837803,0.1389679909,0.0132799149,0.0777370786,1
sshclient,250,20,20180409_212255_1977,250,vagrant,80,11,4.2952330112,3.1962584149,3.4655985832,1.3259551525,0.9245202813,1
sshclient,500,20,20180410_005826_c9f0,500,vagrant,80,12,1.7781257629,1.2556934357,1.162350893,0.6814808846,0.3853917461,1
sshclient,750,20,20180410_011820_faec,750,vagrant,80,21,1.4461343288,0.8702816623,1.0687186718,0.0539433956,0.3859252136,1
sshclient,1000,20,20180409_190538_ace2,1000,vagrant,80,16,0.949031353,0.6786555052,0.7136294842,0.0541374683,0.247015788,1
