cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,req_cnt,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_respEnd
webclient,250,60,20180318_105910_b9f6,250,vagrant,600,10,16683,50007,50002.994837,16567.8,49767.7,49763.9965477,16547.0,49745.0,49741.3721335,16533,49680,49677.157848,44.8481883692,88.2768939191,88.1151098932
webclient,2500,100,20180318_093207_afd5,2500,vagrant,300,54,1996,5378,5374.853472,1907.01851852,5277.05555556,5273.35114683,1905.0,5275.0,5271.038552,1892,5259,5256.950333,13.9569320899,18.90856818,18.9392380133
webclient,2500,40,20180318_091639_5c6d,2500,vagrant,300,56,1805,5655,5100.975414,1783.64285714,5099.10714286,5085.04819729,1783.0,5089.0,5085.09281,1765,5078,5073.7446,6.6047292889,75.1877836229,6.15759798551
webclient,2750,80,20180318_124638_d6be,2750,vagrant,300,60,2120,5209,5205.084288,1723.56666667,4774.03333333,4770.2057821,1717.0,4765.0,4761.3394095,1700,4755,4750.954077,52.4618485717,57.4186284135,57.409060353
webclient,3000,240,20180318_133814_24ef,3000,vagrant,300,56,2058,5311,5307.543345,2036.19642857,5111.89285714,5108.15404593,2040.0,5110.0,5107.0590225,1769,4881,4877.514023,36.7323425232,45.8166682752,45.8478235874
webclient,11000,20,20180403_214550_6b90,11000,vagrant,300,169,510,1745,1253.216933,488.017751479,1238.13017751,1232.58624358,488.0,1234.0,1231.583471,468,1221,1218.264183,7.75014668522,39.6215182776,6.36722080955
webclient,11500,140,20180404_004109_b359,11500,vagrant,300,144,983,2037,2033.626426,837.4375,1743.00694444,1740.12570709,835.0,1733.0,1729.850177,812,1688,1685.892749,20.2678997535,40.4511874101,40.40721799
webclient,11000,0,20180403_213532_05e0,11000,vagrant,300,153,868,1580,1578.568817,453.156862745,1178.91503268,1176.33716369,450.0,1176.0,1173.836805,435,1163,1161.131127,35.4343944369,34.2125130402,34.277229618
webclient,2000,240,20180318_061209_b889,2000,vagrant,600,83,2622,7134,7130.744818,2596.62650602,7013.65060241,7009.97989002,2595.0,7007.0,7003.701722,2576,6987,6983.164738,10.5997395323,25.1642477954,25.2099640899
webclient,4000,40,20180318_181138_957e,4000,vagrant,300,88,1198,3264,3261.233588,1176.5,3247.75,3244.64899618,1177.0,3247.0,3244.2883775,1161,3237,3233.760083,7.32678771235,5.23374105727,5.23737249969
webclient,12000,180,20180404_030532_96d1,12000,vagrant,300,141,1541,2652,2649.208783,1031.53900709,2033.27659574,2029.99735874,1027.0,2023.0,2018.394376,1004,1961,1958.71295,47.1398278748,70.7603192868,70.7805817148
webclient,2750,40,20180318_123620_4834,2750,vagrant,300,61,2177,5182,5177.605963,1646.62295082,4650.54098361,4646.80519111,1638.0,4642.0,4637.881661,1626,4632,4628.551742,68.6772360535,68.8299338642,68.7449445936
webclient,10500,20,20180403_193146_4d4b,10500,vagrant,300,148,908,1679,1675.770152,508.364864865,1292.70945946,1289.98331849,504.0,1291.0,1287.6875465,489,1275,1272.167444,33.7681179894,32.6182367699,32.5560846535
webclient,2500,120,20180318_093717_31e9,2500,vagrant,300,53,2510,5944,5939.665355,1955.58490566,5348.22641509,5344.474182,1945.0,5336.0,5332.339136,1933,5319,5315.365989,77.0832517262,83.3142814343,83.237230684
webclient,10000,60,20180403_173820_c0e3,10000,vagrant,300,143,938,1867,1864.200014,619.895104895,1490.2027972,1487.54322122,618.0,1483.0,1480.242998,570,1440,1437.488974,31.632220735,37.9020746781,37.8735303408
webclient,11500,80,20180404_002541_df2e,11500,vagrant,300,165,668,1488,1485.436258,621.751515152,1403.43636364,1399.48308905,622.0,1401.0,1398.171538,563,1365,1360.537442,16.1344375006,20.714887315,21.0452500075
webclient,5250,220,20180319_014907_36b3,5250,vagrant,300,80,1833,4260,4256.83681,1364.7,3583.225,3580.21713649,1370.5,3573.5,3570.462272,1293,3107,3104.600713,72.1594415167,259.755749455,259.65629416
webclient,500,60,20180319_002212_ab04,500,vagrant,600,22,8367,24952,24947.625935,8330.27272727,24857.3181818,24853.4235717,8332.5,24862.5,24858.1444765,8269,24695,24691.734743,17.7179462646,53.5243244309,53.3644041544
webclient,4250,240,20180318_191330_2f77,4250,vagrant,300,74,1626,4078,4075.092328,1520.90540541,3865.44594595,3862.26442559,1542.5,3858.0,3854.2685635,1423,3697,3694.488443,42.9736465186,81.5866546274,81.4058597913
webclient,3750,100,20180318_172003_d64a,3750,vagrant,300,78,1449,3755,3751.446062,1368.69230769,3679.28205128,3676.17404633,1369.0,3684.0,3680.806794,1353,3628,3625.124548,11.6391334732,19.2692776839,19.2449189019
webclient,11000,180,20180403_223724_1084,11000,vagrant,300,138,1451,2626,2623.052239,1039.71014493,2079.27536232,2076.02721327,1035.0,2063.0,2059.8568945,1019,2018,2015.35266,39.3851665777,62.959932982,62.878311609
webclient,7750,120,20180327_171946_c3c3,7750,vagrant,300,136,974,2313,2215.395142,858.161764706,2100.35294118,2096.23231531,851.5,2109.0,2105.8043625,818,1994,1991.151969,24.4577127821,65.7126688264,63.3002910061
webclient,6750,100,20180319_085708_f73a,6750,vagrant,300,124,1302,2741,2737.923788,919.991935484,2318.89516129,2315.59685953,914.0,2330.0,2326.9631115,876,2207,2203.699691,37.0253827424,57.5923968084,57.5344446811
webclient,7000,60,20180319_095351_d858,7000,vagrant,300,141,815,2204,2054.150769,778.340425532,2008.95035461,2004.87856814,778.0,2001.0,1998.225376,764,1984,1981.534032,6.68419304766,22.6178007601,15.5706970684
webclient,1500,60,20180318_020804_6737,1500,vagrant,600,69,2922,8443,8439.742505,2907.84057971,8430.8115942,8427.31091348,2908.0,8431.0,8427.52724,2896,8422,8418.116725,5.54461009569,4.42416081396,4.52665811929
webclient,9750,200,20180404_052954_5e85,9750,vagrant,300,118,1754,2954,2951.059209,1155.42372881,2334.52542373,2331.55244313,1146.0,2307.0,2302.871266,1127,2240,2236.416742,59.4466584398,101.518363694,101.527388077
webclient,2500,220,20180318_090619_4310,2500,vagrant,300,49,2223,6125,6120.793154,2159.7755102,5765.83673469,5762.07323188,2167.0,5753.0,5749.490904,2087,5665,5661.025085,25.2006359704,65.5374474473,65.3973038488
webclient,5500,240,20180319_030120_6c7a,5500,vagrant,300,85,1509,3553,3550.89459,1416.2,3365.38823529,3362.42947409,1399.0,3368.0,3365.309428,1380,3173,3170.95837,38.6166072169,58.3293073582,58.262968417
webclient,12000,60,20180404_023436_fe9a,12000,vagrant,300,134,623,1546,1341.058806,550.186567164,1279.55223881,1274.97264381,559.0,1284.0,1281.985122,482,1227,1224.344823,22.1191373582,34.6003984025,25.7282536592
webclient,250,240,20180318_103845_df9f,250,vagrant,600,10,16885,50234,50230.223716,16865.6,50171.0,50167.6196142,16866.0,50163.0,50160.0323635,16851,50144,50140.611554,10.4613574645,24.0374707488,23.8095053353
webclient,2000,100,20180318_065249_51cf,2000,vagrant,600,89,2323,6516,6512.183391,2309.64044944,6504.12359551,6500.2403107,2309.0,6504.0,6500.098026,2299,6493,6489.840918,5.48593132427,5.61862917569,5.68350025359
webclient,10500,240,20180403_194205_8803,10500,vagrant,300,97,1628,3824,3820.533813,1359.60824742,2935.27835052,2932.28981864,1348.0,2707.0,2703.705539,1325,2505,2502.917102,44.3285662711,409.342136087,409.322761432
webclient,5750,100,20180319_042858_0e3b,5750,vagrant,300,109,1204,2776,2773.392303,1005.28440367,2570.34862385,2567.18625094,1003.0,2569.0,2566.032254,971,2525,2520.988264,22.333622057,27.5029193269,27.5629210394
webclient,8250,220,20180327_190303_840c,8250,vagrant,300,89,1919,4050,4046.566203,1291.29213483,3223.04494382,3220.03525787,1280.0,3362.0,3359.069415,1246,2548,2545.492756,78.1440907996,308.619103085,308.537021157
webclient,9000,100,20180327_224956_73bb,9000,vagrant,300,124,1079,2195,2192.742722,762.951612903,1851.57258065,1848.47956538,756.5,1860.0,1857.072446,665,1719,1715.844997,39.0778492736,72.2012390863,72.2917359523
webclient,2750,200,20180318_121539_ab09,2750,vagrant,300,54,2173,5990,5986.279963,1979.57407407,5253.94444444,5250.2286235,1981.5,5241.0,5237.0817475,1820,5017,5013.196117,37.3777522717,123.949275268,123.920831619
webclient,3750,80,20180318_171453_c328,3750,vagrant,300,80,1343,3603,3600.31388,1327.4125,3587.0875,3583.98555526,1328.0,3588.0,3585.07757,1315,3568,3565.294712,6.66838389342,7.59307867403,7.40154863295
webclient,9250,0,20180404_031042_cd5f,9250,vagrant,300,139,547,1410,1407.313381,518.669064748,1388.67625899,1385.96511788,518.0,1388.0,1385.58326,502,1377,1373.396279,8.80842344496,6.58231315242,6.54668436501
webclient,1250,0,20180317_225446_8164,1250,vagrant,600,58,3354,9931,9926.835565,3332.56896552,9901.27586207,9897.40083034,3332.5,9898.5,9894.7991695,3320,9885,9881.02844,6.92101265504,11.164588575,11.2671968352
webclient,10500,180,20180403_202320_631d,10500,vagrant,300,136,1226,2395,2322.640365,1038.26470588,2086.56617647,2081.09799427,1036.0,2073.0,2069.842572,1019,2042,2039.522271,17.9268264695,44.6294716339,35.9924411764
webclient,1250,180,20180318_005651_09b0,1250,vagrant,600,55,4354,11095,11090.831855,3705.14545455,10490.1818182,10486.4327809,3693.0,10499.0,10495.541205,3675,10412,10408.442284,88.757159646,89.3328995508,89.2973767779
webclient,10250,240,20180403_183503_778b,10250,vagrant,300,92,1575,3778,3773.663103,1363.31521739,3098.7173913,3095.74462316,1354.0,2920.0,2917.203986,1329,2558,2556.136076,36.032270967,422.643886641,422.452044343
webclient,250,120,20180318_112941_12bd,250,vagrant,600,10,16854,49926,49921.806079,16680.6,49801.0,49797.5157039,16672.5,49800.5,49797.2075025,16524,49671,49666.944879,141.043397577,102.614813745,102.670144039
webclient,6000,0,20180319_045446_725c,6000,vagrant,300,136,777,2126,2122.887157,752.125,2108.47058824,2105.31661832,753.0,2108.0,2104.551687,738,2096,2092.336875,6.54446049994,6.08631683329,6.05271247723
webclient,1750,160,20180318_051106_81b6,1750,vagrant,600,77,2741,7650,7646.139995,2722.5974026,7564.97402597,7561.32268762,2722.0,7564.0,7559.950174,2708,7551,7547.963771,6.7154788058,12.0431842296,12.0750893652
