cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_mos,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_mos,webc_std_respEnd,webc_web_cnt
webclient,4750,40,20180330_151953_e327,4750,vagrant,300,2449,2559,2464.982347,2214.69298246,2321.54385965,4.08062557077,2071.00515018,2212.0,2318.0,2032.0330045,2150,2277,2003.600848,29.3377570009,30.7679887052,0.0467325098478,117.316323888,114
webclient,3500,200,20180330_092339_6799,3500,vagrant,300,3453,4010,3345.637616,3370.50632911,3492.58227848,3.68221023203,3252.34572858,3363.0,3481.0,3250.226614,3268,3381,3055.720652,34.9121405084,71.7704864406,0.0104354603106,38.2726038482,79
webclient,5250,220,20180330_193635_de68,5250,vagrant,300,3185,3311,3086.063931,3128.52941176,3252.12941176,3.74093005599,3042.22973169,3130.0,3252.0,3041.925968,3088,3189,3012.91795,19.1302582839,25.5300460751,0.00416912590235,14.4255453379,85
webclient,8000,120,20180331_103840_dcb0,8000,vagrant,300,2403,2545,2261.938654,1794.26277372,1905.49635036,4.28642035982,1637.75861177,1797.0,1897.0,1637.348966,1663,1780,1522.030724,63.7987563745,69.4839291494,0.0300216043893,62.3837767664,137
webclient,6500,220,20180331_011216_e464,6500,vagrant,300,3049,3162,2913.403603,2949.51685393,3065.01123596,3.79669260694,2856.44896149,2959.0,3072.0,2865.493753,2437,2578,2346.658076,76.7864560213,78.8023404634,0.0244089558735,73.6490112288,89
webclient,8000,0,20180331_095211_ff11,8000,vagrant,300,1509,1607,2224.84358,1434.21830986,1540.69014085,4.30128328676,1610.18944435,1432.0,1537.0,1601.5384835,1382,1499,1557.102411,17.0839337247,22.5613976376,0.0276654875198,57.5731061942,142
webclient,3000,80,20180330_074018_3287,3000,vagrant,300,3358,3493,3149.752534,3271.26582278,3394.62025316,3.71778972308,3123.27671489,3269.0,3397.0,3123.180515,3241,3341,3094.745461,21.7829970046,30.0911290168,0.00337747279112,11.9870350131,79
webclient,5500,120,20180330_211442_e204,5500,vagrant,300,2287,2432,2112.386659,2204.25438596,2328.06140351,4.08659633842,2054.27838064,2206.5,2329.5,2060.8681345,2084,2210,1941.814531,41.9951566555,46.0254096654,0.0151795766141,35.0711833172,114
webclient,7000,40,20180331_033654_fd6b,7000,vagrant,300,1850,1957,1870.722947,1653.14569536,1772.03311258,4.3515160966,1524.81819394,1653.0,1767.0,1475.18355,1616,1716,1451.831269,24.8426564765,24.3708699251,0.0679450084317,127.45113801,151
webclient,500,100,20180330_183001_b4af,500,vagrant,600,17534,17661,17391.893155,17409.625,17535.0,2.21315677414,17265.1270885,17414.0,17544.5,17272.6544065,17246,17388,17100.368698,45.3622571639,47.5769114172,0.00223001254272,43.6923679143,32
webclient,6250,0,20180330_234938_645a,6250,vagrant,300,2061,2158,2225.290482,1727.82876712,1833.65753425,4.15486384841,1901.08493275,1724.0,1829.0,1896.9799545,1678,1785,1838.567406,33.5294512923,37.6989586637,0.0184424916411,41.2370261676,146
webclient,7750,140,20180331_093641_e034,7750,vagrant,300,2116,2235,1944.727115,2038.696,2153.752,4.16048257319,1888.67897011,2032.0,2145.0,1886.377247,1940,2039,1799.5023,29.365891507,36.128582812,0.00983594990334,21.0638003644,125
webclient,2750,20,20180330_060724_e0b3,2750,vagrant,300,3601,3699,3726.508916,3475.49350649,3579.94805195,3.60754598492,3543.88761135,3476.0,3577.0,3631.759084,3418,3529,3263.415792,24.736861068,27.666331033,0.0410231900586,161.877059908,77
webclient,1250,20,20180329_170030_6757,1250,vagrant,600,7449,7552,7609.736679,7147.11538462,7253.97435897,2.98483973165,7185.58634315,7140.5,7250.0,7298.6600095,7115,7219,6943.212952,36.707080561,38.3776692412,0.0217311300362,176.729447229,78
webclient,8000,160,20180331_104900_33b2,8000,vagrant,300,2367,2512,2194.502816,2264.20175439,2383.23684211,4.05808764407,2121.66226338,2261.0,2377.0,2119.1782295,2224,2327,2087.776849,25.4366015552,33.6385072346,0.0064270689523,15.5533331546,114
webclient,4500,20,20180330_135716_7102,4500,vagrant,300,2309,2448,2523.731278,2274.15454545,2379.78181818,3.96775857657,2356.38157771,2274.5,2382.0,2436.740468,2226,2339,2073.102117,15.4709031079,19.869291893,0.0605105432832,156.188080152,110
webclient,500,240,20180330_174911_d14d,500,vagrant,600,17632,17742,17557.052098,17575.40625,17702.21875,2.19978690474,17529.3841318,17570.0,17705.0,17528.3640505,17550,17662,17521.780322,15.2435629345,20.4812938663,0.000274664251069,5.47458204555,32
webclient,4500,200,20180330_135206_c022,4500,vagrant,300,3163,3273,2864.899349,2908.14285714,3024.0989011,3.81660255336,2791.71244678,2903.0,3022.0,2787.966256,2743,2875,2590.503502,41.409658434,43.5511711012,0.0102458478406,32.0829343998,91
webclient,8750,160,20180331_141027_7c1a,8750,vagrant,300,2765,2891,2624.433523,2210.66666667,2325.60683761,4.07983786715,2070.50527862,2207.0,2315.0,2067.406781,2041,2183,1903.934181,59.8126705269,63.8107454532,0.0221476064626,56.9956962271,117
webclient,1250,180,20180329_184211_3b0e,1250,vagrant,600,7495,7605,7294.379376,7387.5,7499.34210526,2.97727606701,7245.41576708,7380.0,7487.5,7242.736049,7356,7457,7220.893906,27.84378415,32.9311692984,0.00115037238057,9.48436178715,76
webclient,3250,80,20180330_084731_e5aa,3250,vagrant,300,3157,3275,2956.082899,3063.33333333,3181.28735632,3.77863159944,2914.64098703,3059.0,3178.0,2915.042316,3026,3126,2887.035726,24.5299098061,30.6196196009,0.00390191903196,12.9288850092,87
webclient,2250,80,20180330_020503_f563,2250,vagrant,300,4261,4378,4079.030085,4195.390625,4314.234375,3.48889670466,4051.08934611,4195.0,4311.5,4054.050616,4161,4262,4020.447722,16.8398867903,28.8112077734,0.00272779239209,12.5480456749,64
webclient,8500,160,20180331_130318_4cec,8500,vagrant,300,2780,2925,2638.373893,2161.87288136,2274.22033898,4.10196999358,2019.28580954,2159.0,2269.0,2021.1704935,1970,2091,1832.076249,65.3161213274,71.4553476303,0.0251885110181,63.8777706118,118
webclient,1250,0,20180329_164008_6065,1250,vagrant,600,7193,7322,7396.568783,7120.82278481,7225.97468354,2.97181667196,7290.53269706,7119.0,7223.0,7289.604664,7078,7198,7250.587258,15.7067747164,19.2024356865,0.00268215631701,22.2720171551,79
webclient,2000,180,20180330_011846_ddad,2000,vagrant,600,5026,5137,4830.87106,4938.5625,5054.08928571,3.34022939848,4796.68195781,4934.0,5049.5,4796.974282,4860,4957,4718.586434,20.6504847963,27.9765697796,0.00225835523499,12.2484200734,112
webclient,4250,120,20180330_132617_9575,4250,vagrant,300,2711,2831,2504.074201,2598.73267327,2713.83168317,3.93145231119,2450.08007606,2600.0,2712.0,2455.584684,2533,2651,2391.735169,28.329354013,35.7901112807,0.00824012625603,22.9022163278,101
webclient,9000,80,20180331_145657_40d3,9000,vagrant,300,1568,2075,1365.281495,1462.32824427,1594.73282443,4.47773401916,1317.02174265,1460.0,1589.0,1318.811176,1422,1529,1285.302915,22.810350787,51.4104608756,0.0104604039486,15.6666242487,131
webclient,8000,240,20180331_101250_65a4,8000,vagrant,300,3031,3189,2955.107382,2966.15730337,3089.66292135,3.78366273127,2898.24466643,2966.0,3089.0,2892.360843,2686,2817,2612.988866,37.8729095545,43.6811593408,0.0116485171283,37.0948702309,89
webclient,4250,100,20180330_132107_b96c,4250,vagrant,300,2602,2723,2425.266688,2506.76923077,2627.94230769,3.96370198707,2361.88023443,2504.0,2624.5,2359.6738765,2447,2552,2336.090462,23.0598013406,33.5515753737,0.00662591069576,17.8828574196,104
webclient,1500,80,20180329_200332_c047,1500,vagrant,600,6164,6287,5933.138092,6059.48913043,6177.92391304,3.15571725415,5915.61195579,6058.0,6173.5,5916.4542195,6031,6138,5890.679627,15.1689718814,23.2595159094,0.00119452795415,8.02607232187,92
webclient,3750,200,20180330_103045_9a63,3750,vagrant,300,3358,3484,3210.300598,3263.26829268,3379.30487805,3.71143146388,3146.00610266,3262.0,3379.0,3141.613901,3208,3310,3095.007009,34.4362432374,36.910798547,0.00715791538756,25.6528712885,82
webclient,4250,180,20180330_134147_1e1a,4250,vagrant,300,2988,3121,2846.370808,2911.14285714,3031.25274725,3.82156334582,2776.04039234,2901.0,3021.0,2772.706131,2858,2964,2736.773882,34.4857261214,39.4499525499,0.0107492751176,34.077316902,91
webclient,3750,220,20180330_104105_8fa6,3750,vagrant,300,3605,3719,3516.450271,3500.81818182,3617.88311688,3.64064745404,3409.48470118,3498.0,3614.0,3406.187076,3442,3551,3370.900354,27.1817964644,33.5822208783,0.00611034079291,23.7855830095,77
webclient,5000,200,20180330_160621_dc9e,5000,vagrant,300,3441,3552,3319.816651,2703.04123711,2818.37113402,3.88610428668,2580.60136475,2686.0,2808.0,2560.319737,2653,2759,2545.416561,80.0813912675,81.8390826892,0.0243982704673,79.9814273411,97
webclient,4250,140,20180330_133127_65f4,4250,vagrant,300,3203,3305,3029.577658,2682.70652174,2799.44565217,3.90127408278,2536.04497843,2677.0,2789.0,2533.9185115,2574,2675,2431.892494,61.4082096982,64.1159554399,0.0186723426658,57.6064258958,92
webclient,4000,40,20180330_115832_9c20,4000,vagrant,300,2891,2993,2752.025348,2541.43137255,2650.97058824,3.94955497505,2402.85109562,2538.5,2647.0,2360.996635,2475,2605,2337.279688,38.3376407991,38.6972806164,0.0414394056891,119.548535643,102
webclient,4500,220,20180330_140225_af46,4500,vagrant,300,3817,3915,3654.919097,3397.83544304,3510.78481013,3.66815211205,3304.78528251,3385.0,3498.0,3295.484522,3325,3426,3259.238835,58.6069141771,59.7716479265,0.0116478008412,45.4252508037,79
webclient,6750,240,20180331_022435_6632,6750,vagrant,300,3105,3237,3022.537634,3007.13636364,3129.68181818,3.77177141748,2937.5580408,2997.5,3124.0,2929.912004,2947,3049,2882.964226,36.9373492362,40.2933971171,0.008447500237,28.2757193448,88
webclient,1750,20,20180329_212453_0fb2,1750,vagrant,600,5256,5372,5434.778079,5208.94392523,5313.35514019,3.25884409044,5264.08721112,5208.0,5313.0,5364.766562,5165,5284,5019.378932,14.4369928366,18.4953908562,0.0280208674004,165.806791701,107
webclient,3500,20,20180330_092849_1e61,3500,vagrant,300,2877,3000,3056.563335,2805.64210526,2908.37894737,3.79452594448,2867.17170677,2806.0,2905.0,2959.10129,2752,2866,2602.458546,18.4053286274,22.986576837,0.0509452100871,162.2885487,95
webclient,2500,80,20180330_031208_2751,2500,vagrant,300,3906,4035,3704.449641,3830.61428571,3953.0,3.57279931445,3682.68427163,3828.0,3948.0,3682.460836,3794,3895,3653.113538,20.3997849128,29.6426333899,0.00271686803103,11.3675318269,70
webclient,7750,60,20180331_091601_b892,7750,vagrant,300,1996,2089,1819.016136,1560.27272727,1687.62878788,4.42326740716,1401.4958472,1554.0,1684.0,1396.8305165,1498,1625,1360.156817,46.8828473688,41.2026413729,0.0222652927328,39.5696839801,132
