cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webdlc_content_size,webdlc_file_cnt,webdlc_max,webdlc_mean,webdlc_mean_mos,webdlc_median,webdlc_min,webdlc_std,webdlc_std_mos
webdlclient,2000,160,20180321_043645_ec90,2000,vagrant,900,10485760,19,44.3502037525,44.3386141752,3.23968201181,44.3385827541,44.3263063431,0.00388704502517,0.000147282787721
webdlclient,1500,40,20180320_203135_7ffe,1500,vagrant,900,10485760,14,58.6112098694,58.5962065969,2.77127447037,58.5951414108,58.5945904255,0.00416957762371,0.000119531064383
webdlclient,1000,60,20180320_141231_6efa,1000,vagrant,900,10485760,9,87.9332299232,87.9327967432,2.08935761309,87.9329171181,87.9318904877,0.000389030865913,7.43264897024e-06
webdlclient,250,100,20180321_134253_60dd,250,vagrant,900,10485760,1,352.953257322,352.953257322,1.0,352.953257322,352.953257322,0.0,0.0
webdlclient,1500,240,20180320_201625_5e67,1500,vagrant,900,10485760,14,59.2383854389,59.2359337296,2.75303238268,59.2369087934,59.2201609612,0.00441807175075,0.000125316668487
webdlclient,4250,180,20180322_134304_4c57,4250,vagrant,900,10485760,41,21.5881128311,21.4305718817,4.46110988965,21.4145636559,21.4002270699,0.0521934342535,0.00407868383597
webdlclient,2500,80,20180321_101021_90e0,2500,vagrant,900,10485760,24,35.2983560562,35.2973404328,3.62280320243,35.2976593971,35.2877409458,0.00202932332572,9.65991485813e-05
webdlclient,5000,0,20180322_203216_84fc,5000,vagrant,900,10485760,50,17.5577549934,17.5519853115,4.79651934325,17.5503914356,17.549628973,0.00236649485622,0.000226502016461
webdlclient,750,180,20180323_060834_fb10,750,vagrant,900,10485760,6,117.493177176,117.492802223,1.60248651564,117.492757797,117.492555857,0.000189509212208,2.70974253643e-06
webdlclient,2250,140,20180321_073839_1bd4,2250,vagrant,900,10485760,21,39.4194056988,39.4186086314,3.43728015154,39.4186542034,39.4172005653,0.000434070324734,1.84999792739e-05
webdlclient,2750,180,20180321_180045_52d1,2750,vagrant,900,10485760,26,32.5098650455,32.5018208669,3.76142252988,32.5015058517,32.5008487701,0.00163943056971,8.47315551365e-05
webdlclient,3500,180,20180322_035151_68d7,3500,vagrant,900,10485760,33,25.8353335857,25.8254610264,4.14771376122,25.8238174915,25.8228166103,0.00371959965499,0.000241936103345
webdlclient,3000,240,20180321_191632_c8ab,3000,vagrant,900,10485760,28,30.3957555294,30.2591180631,3.88154099254,30.2557262182,30.2157123089,0.0313116247543,0.00173598399745
webdlclient,2000,80,20180321_033607_74c2,2000,vagrant,900,10485760,19,44.0587387085,44.0583575901,3.25033469248,44.0583229065,44.0578658581,0.000225056416073,8.5816777984e-06
webdlclient,5000,80,20180322_221821_99da,5000,vagrant,900,10485760,49,17.8445203304,17.8152272263,4.77151026732,17.8128397465,17.8040633202,0.00947869131093,0.000893391570597
webdlclient,750,40,20180323_042225_190a,750,vagrant,900,10485760,6,117.223613262,117.217394193,1.60642913708,117.222407818,117.190683603,0.0119541890529,0.000171347126362
webdlclient,3750,160,20180322_065343_f860,3750,vagrant,900,10485760,36,24.0152013302,24.007297092,4.27035885955,24.0057680607,24.0048213005,0.00302584703444,0.000211726238606
webdlclient,1250,100,20180320_175957_a3cf,1250,vagrant,900,10485760,11,70.4395346642,70.4389715628,2.46202557201,70.43891716,70.4385895729,0.000228058121602,5.439276934e-06
webdlclient,4500,0,20180322_135813_4a51,4500,vagrant,900,10485760,45,19.5098359585,19.5026275688,4.61947735143,19.5036182404,19.4981491566,0.00247206850174,0.000212952314295
webdlclient,3250,60,20180321_230354_7caa,3250,vagrant,900,10485760,32,27.1440680027,27.1434026137,4.06409484787,27.1434024572,27.1423304081,0.000324959806454,2.01129633587e-05
webdlclient,500,160,20180323_023612_7a4d,500,vagrant,900,10485760,4,176.193873882,176.188540339,1.0,176.187520623,176.185246229,0.00329432197164,0.0
webdlclient,4750,20,20180322_174533_727a,4750,vagrant,900,10485760,47,18.5226473808,18.5177817395,4.70653117622,18.5173990726,18.5167410374,0.00139491949103,0.000126538577034
webdlclient,1250,40,20180320_171430_6222,1250,vagrant,900,10485760,11,70.3150725365,70.3142614798,2.46500259771,70.3141336441,70.3132081032,0.000493970760379,1.18023175602e-05
webdlclient,4500,240,20180322_145851_1107,4500,vagrant,900,10485760,41,21.3148999214,21.276023824,4.47326568426,21.2613983154,21.2476103306,0.0276920800045,0.00218617152663
webdlclient,2500,240,20180321_092453_f920,2500,vagrant,900,10485760,24,36.0635323524,36.0169271032,3.58889864554,36.0074474812,35.9972007275,0.0179263065439,0.000835829020152
webdlclient,4250,40,20180322_115659_9460,4250,vagrant,900,10485760,42,20.743023634,20.7422952198,4.51594623173,20.7423090935,20.7367994785,0.000902199307483,7.30811373676e-05
webdlclient,1250,140,20180320_183017_297d,1250,vagrant,900,10485760,11,70.5594666004,70.5590716709,2.45916357157,70.559027195,70.5586819649,0.000191857608769,4.56809770577e-06
webdlclient,4500,60,20180322_152909_090c,4500,vagrant,900,10485760,44,19.666613102,19.6655809175,4.60549849083,19.665583849,19.6647467613,0.000384267891185,3.28273012337e-05
webdlclient,2750,100,20180321_170007_9584,2750,vagrant,900,10485760,26,32.1853480339,32.1773375548,3.77827916853,32.1766986847,32.1763417721,0.00224587640761,0.000117245859156
webdlclient,2000,60,20180321_032058_3340,2000,vagrant,900,10485760,19,43.9988026619,43.9983202156,3.25262555349,43.9982535839,43.997934103,0.000241976768559,9.23945348995e-06
webdlclient,750,160,20180323_055324_da3f,750,vagrant,900,10485760,6,117.46466279,117.464409669,1.60289254267,117.464380741,117.464232445,0.000141705011742,2.02669334179e-06
webdlclient,2750,220,20180321_154419_5092,2750,vagrant,900,10485760,26,32.7599949837,32.7439239667,3.74895476204,32.7422420979,32.7331674099,0.00539844201287,0.000276953331776
webdlclient,4500,120,20180322_161437_72db,4500,vagrant,900,10485760,44,20.0892398357,19.9380816709,4.58238094641,19.9309805632,19.9300076962,0.0305126577209,0.00256241887113
webdlclient,4750,0,20180322_171515_6d91,4750,vagrant,900,10485760,47,18.4798240662,18.476187843,4.71030897774,18.4777488708,18.4727299213,0.00234239395283,0.000212992935266
webdlclient,3500,80,20180322_023604_58b5,3500,vagrant,900,10485760,34,25.2920114994,25.2909119269,4.18285220228,25.2910667658,25.284235239,0.00120700985378,8.01875165928e-05
webdlclient,1000,100,20180320_144250_1bad,1000,vagrant,900,10485760,9,88.0164704323,88.0126145946,2.08783335081,88.014945507,87.9917316437,0.00740589123785,0.000141379478252
